Branch_Code,Year,Category,Cutoff
100219110,2020,GOPENS,12517.0
100219110,2021,GOPENS,21750.0
100219110,2022,GOPENS,40678.0
100219110,2023,GOPENS,45820.0
100219110,2024,GOPENS,34240.0
100224210,2020,GOPENS,4109.0
100224210,2021,GOPENS,4731.0
100224210,2022,GOPENS,6412.0
100224210,2023,GOPENS,6839.0
100224210,2024,GOPENS,7872.0
100224610,2020,GOPENS,6194.0
100224610,2021,GOPENS,6919.0
100224610,2022,GOPENS,8456.0
100224610,2023,GOPENS,10303.0
100224610,2024,GOPENS,12001.0
100229310,2020,GOPENS,13652.0
100229310,2021,GOPENS,18371.0
100229310,2022,GOPENS,26610.0
100229310,2023,GOPENS,31193.0
100229310,2024,GOPENS,28736.0
100237210,2020,GOPENS,10626.0
100237210,2021,GOPENS,11873.0
100237210,2022,GOPENS,15492.0
100237210,2023,GOPENS,16356.0
100237210,2024,GOPENS,17552.0
100246610,2020,GOPENS,21366.0
100246610,2021,GOPENS,35736.0
100246610,2022,GOPENS,49414.0
100246610,2023,GOPENS,52017.0
100246610,2024,GOPENS,40780.0
100261210,2020,GOPENS,11560.0
100261210,2021,GOPENS,21324.0
100261210,2022,GOPENS,34421.0
100261210,2023,GOPENS,38651.0
100261210,2024,GOPENS,37888.0
110519110,2023,GOPENS,105134.0
110519110,2024,GOPENS,94924.0
110524210,2023,GOPENS,25863.0
110524210,2024,GOPENS,31294.0
110524610,2023,GOPENS,33095.0
110524610,2024,GOPENS,37080.0
110526310,2023,GOPENS,40000.0
110526310,2024,GOPENS,44356.0
110526510,2023,GOPENS,73046.0
110526710,2024,GOPENS,59720.0
110537210,2023,GOPENS,51559.0
110537210,2024,GOPENS,51746.0
110561210,2023,GOPENS,101231.0
110561210,2024,GOPENS,90207.0
110719110,2024,GOPENS,86337.0
110724210,2024,GOPENS,40238.0
110729310,2024,GOPENS,73115.0
110737210,2024,GOPENS,56381.0
110761210,2024,GOPENS,94584.0
110791110,2024,GOPENS,68408.0
110799510,2024,GOPENS,60478.0
111419110,2024,GOPENS,103117.0
111424210,2024,GOPENS,43820.0
111424610,2024,GOPENS,50318.0
111426310,2024,GOPENS,55899.0
111437210,2024,GOPENS,66465.0
111461210,2024,GOPENS,100739.0
112719110,2024,GOPENS,108424.0
112724510,2024,GOPENS,84480.0
112729310,2024,GOPENS,115102.0
112737210,2024,GOPENS,105972.0
112761210,2024,GOPENS,127548.0
1400550110,2024,GOPENS,35656.0
1400550310,2024,GOPENS,5077.0
1400550710,2024,GOPENS,18600.0
1400552410,2024,GOPENS,34045.0
1400552710,2024,GOPENS,23713.0
1400552910,2024,GOPENS,46154.0
1400572910,2024,GOPENS,32812.0
1600619110,2020,GOPENS,1630.0
1600619110,2021,GOPENS,2757.0
1600619110,2022,GOPENS,3309.0
1600619110,2023,GOPENS,4676.0
1600619110,2024,GOPENS,4466.0
1600624210,2020,GOPENS,90.0
1600624210,2021,GOPENS,126.0
1600624210,2022,GOPENS,97.0
1600624210,2023,GOPENS,151.0
1600624210,2024,GOPENS,96.0
1600626610,2023,GOPENS,797.0
1600626610,2024,GOPENS,476.0
1600629310,2020,GOPENS,812.0
1600629310,2021,GOPENS,908.0
1600629310,2022,GOPENS,1094.0
1600629310,2023,GOPENS,1044.0
1600629310,2024,GOPENS,1341.0
